case,bytes,category,profile,mode,engine,strict_all_six,ns,round_min_ns,round_max_ns,speed_relative_to_v2
vue-docs-suspense,8291,technical-docs,gfm,fresh,pulldown-cmark,no,20372.72152217742,20281.354674699178,20530.534836065573,0.4874726583019858
vue-docs-suspense,8291,technical-docs,gfm,fresh,bun,no,44470.59105603448,43769.50915948276,44578.37176724138,0.22331937762527868
vue-docs-slots,24211,technical-docs,gfm,fresh,v2,no,32393.947115384617,32101.23517628205,32525.807692307695,1.0
vue-docs-slots,24211,technical-docs,gfm,fresh,ox-content,no,36232.12410714285,36189.937053571426,36325.52098214286,0.8940670168713192
vue-docs-slots,24211,technical-docs,gfm,fresh,v1,no,58008.16761363637,55484.17730978261,58870.53125,0.5584376898636866
vue-docs-slots,24211,technical-docs,gfm,fresh,md4c,no,83572.23984375,83522.43958333333,83911.24166666667,0.3876161172172678
vue-docs-slots,24211,technical-docs,gfm,fresh,pulldown-cmark,no,64298.56796875,63351.953125,64423.7296875,0.5038051101095833
vue-docs-slots,24211,technical-docs,gfm,fresh,bun,no,146248.04513888888,146132.234375,148002.6041666667,0.22150003498932738
vue-docs-reactivity-in-depth,24001,technical-docs,gfm,fresh,v2,no,27166.043550531915,26883.477393617024,27192.555359620725,1.0
vue-docs-reactivity-in-depth,24001,technical-docs,gfm,fresh,ox-content,no,29081.02062136628,28813.654474431816,29087.933056950318,0.9341502798073256
vue-docs-reactivity-in-depth,24001,technical-docs,gfm,fresh,v1,no,36432.36607142857,35978.60900297619,36773.41327468488,0.7456568562489384
vue-docs-reactivity-in-depth,24001,technical-docs,gfm,fresh,md4c,no,68833.12828947368,68740.5427631579,68973.8552631579,0.39466524659879926
vue-docs-reactivity-in-depth,24001,technical-docs,gfm,fresh,pulldown-cmark,no,55450.71875,54949.44565217391,55527.315217391304,0.4899132808901943
vue-docs-reactivity-in-depth,24001,technical-docs,gfm,fresh,bun,no,140473.66840277778,138675.9109375,141455.07638888888,0.1933888668205003
