case,category,size_bin,bytes,profile,output,mode,main_us,v2_us,main_over_v2,ratio_min,ratio_max,leader
wiki-tea-article-body,encyclopedia,50–256 KiB,58814,commonmark,serialization-equivalent,fresh,151.094970703125,92.27699278846153,1.6179624334185132,1.5464738071402004,1.6613662532337305,v2
wiki-tea-article-body,encyclopedia,50–256 KiB,58814,commonmark,serialization-equivalent,owned,147.758953125,92.67042307692307,1.609343141142556,1.5739279792084278,1.6311497405270636,v2
wiki-tea-article-body,encyclopedia,50–256 KiB,58814,commonmark,serialization-equivalent,reuse,144.7710625,91.05764182692307,1.5788950556846038,1.527352166181747,1.6108334251991117,v2
wiki-tea-plain-prose,plain-prose,10–50 KiB,40577,commonmark,serialization-equivalent,fresh,16.53232284330986,12.657370127688173,1.3045257144709774,1.2937746170301314,1.32416511789124,v2
wiki-tea-plain-prose,plain-prose,10–50 KiB,40577,commonmark,serialization-equivalent,owned,15.5690190397351,12.223795572916666,1.2774108237136692,1.2506688584806827,1.2890654856988035,v2
wiki-tea-plain-prose,plain-prose,10–50 KiB,40577,commonmark,serialization-equivalent,reuse,13.803232169117647,12.127845844072164,1.1395144583951413,1.128209103821111,1.1472263072332505,v2
wiki-chess-first-paragraph,encyclopedia,512 B–2 KiB,1190,commonmark,serialization-equivalent,fresh,4.291535763254114,2.5798983429592957,1.660685845699598,1.6524678035335094,1.674358773941182,v2
wiki-chess-first-paragraph,encyclopedia,512 B–2 KiB,1190,commonmark,serialization-equivalent,owned,3.3676302456958394,2.2502161708253356,1.500319871442548,1.4828645431244734,1.5109768164823945,v2
wiki-chess-first-paragraph,encyclopedia,512 B–2 KiB,1190,commonmark,serialization-equivalent,reuse,3.2828584558823533,2.2234041765402845,1.4807220944796307,1.458205717759216,1.488684415061078,v2
wiki-chess-lead,encyclopedia,2–10 KiB,4125,commonmark,serialization-equivalent,fresh,11.681902985074627,7.601507787216828,1.5306304065462013,1.496024887765075,1.5490257102635658,v2
wiki-chess-lead,encyclopedia,2–10 KiB,4125,commonmark,serialization-equivalent,owned,10.204795108695652,7.150164348323171,1.4250259968175747,1.4071447712439826,1.4329871665681186,v2
wiki-chess-lead,encyclopedia,2–10 KiB,4125,commonmark,serialization-equivalent,reuse,9.977000265957447,7.124497340425531,1.3908811515044466,1.3855958170160085,1.4161831661409587,v2
wiki-chess-article-body,encyclopedia,50–256 KiB,113609,commonmark,different,fresh,251.630078125,188.09615384615384,1.327662319286833,1.310433254239669,1.3598317010025216,v2
wiki-chess-article-body,encyclopedia,50–256 KiB,113609,commonmark,different,owned,245.01745000000003,185.3256201923077,1.3180837416710038,1.28864822539498,1.3749000124652082,v2
wiki-chess-article-body,encyclopedia,50–256 KiB,113609,commonmark,different,reuse,241.86861875,188.01201923076923,1.2695182758437737,1.2288138945539901,1.317769550586369,v2
wiki-chess-plain-prose,plain-prose,50–256 KiB,80966,commonmark,serialization-equivalent,fresh,36.927978515625,28.666396722560975,1.2881527063256888,1.2706131980474205,1.3191794009088276,v2
